id,google_timestamp,zoom_timestamp,prog_exp,prog_exp_r,prog_ease_max_list,data_format,current_use_llm,work_organisation,barrier_time_availability,barrier_supervisor_interests,barrier_internet_connection,barrier_electricity,barrier_computer,interest_share_dataset
n7x6n1,2023-10-04T06:51:44Z,2023-10-04T06:52:19Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,I don't know,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
a2m9a2,2023-10-06T08:37:47Z,2023-10-06T08:38:57Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Government,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
v3p7v9,2023-10-03T10:09:55Z,2023-10-03T10:10:57Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with no use of external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,I don't know,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
e2w8e5,2023-10-13T17:05:16Z,2023-10-13T17:05:49Z,I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Academia,I don't know,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
o9d8o8,2023-10-13T11:18:04Z,2023-10-13T11:19:26Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I rely on LLMs for completing a wide range of tasks (e.g. several times a day).,NGO (non-governmental organisation),A barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,Yes
v4w0v1,2023-10-20T16:26:32Z,2023-10-20T16:27:19Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Independent consultant,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
k3u5k2,2023-10-10T12:00:27Z,2023-10-10T12:03:07Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
e5x1e1,2023-10-12T09:54:55Z,2023-10-12T09:56:56Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Private sector,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
f0l0f6,2023-10-23T18:26:03Z,2023-10-23T18:27:22Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with no use of external help.,"In machine readible files (e.g. CSV, JSON)",I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
l6y3l4,2023-10-03T18:47:15Z,2023-10-10T11:13:15Z,I have none.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
o1b5o6,2023-10-09T18:59:38Z,2023-10-09T19:00:19Z,I have written programs for my own use that are a couple of pages long.,I have written programs for my own use that are a couple of pages long.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
t1n3t0,2023-10-08T05:23:04Z,2023-10-08T05:23:49Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
e0z4e7,2023-10-10T17:29:03Z,2023-10-30T12:20:12Z,I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.,I could do it quickly with no use of external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
f8c1f2,2023-10-11T01:43:38Z,2023-10-11T01:44:48Z,I have written and maintained larger pieces of software.,I have none.,I could do it quickly with no use of external help.,In a relational database (e.g. an SQL Database),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
l9q2l5,2023-10-17T05:22:52Z,2023-10-17T05:23:23Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
s6t7s9,2023-10-02T17:09:55Z,2023-10-02T17:11:06Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,I don't know,I use LLMs occasionally for specific tasks when needed (e.g once a week).,Independent consultant,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
m7x6m9,2023-10-02T20:25:09Z,NA,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
s9i4s6,2023-10-30T02:53:00Z,2023-10-30T02:53:56Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I rely on LLMs for completing a wide range of tasks (e.g. several times a day).,Academia,I don't know,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
e4f0e3,2023-10-05T00:13:20Z,2023-10-05T00:14:52Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
q2y2q4,2023-10-13T23:48:51Z,2023-10-13T23:27:33Z,I have none.,I have none.,I wouldn’t know where to start.,I don't know,I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
r6d7r8,2023-10-19T12:53:55Z,2023-10-30T11:30:32Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),A barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,Maybe
f0m3f0,2023-10-09T17:46:05Z,2023-10-09T18:11:36Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In physical notebooks on paper,I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
x4d3x8,2023-10-25T21:41:59Z,2023-10-25T21:42:26Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I rely on LLMs for completing a wide range of tasks (e.g. several times a day).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
i1q1i5,2023-10-09T21:48:25Z,2023-10-09T21:49:23Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),I don't know,Not a barrier,Not a barrier,Not a barrier,A barrier,No
c5x8c3,2023-10-02T21:31:20Z,2023-10-02T21:32:06Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),I don't know,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
r1v2r1,2023-10-13T08:24:51Z,2023-10-13T08:25:10Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
i8n3i9,2023-10-25T22:34:54Z,2023-10-25T22:35:52Z,I have written a few lines now and again.,I have written and maintained larger pieces of software.,I could do it quickly with no use of external help.,"In machine readible files (e.g. CSV, JSON)",I rely on LLMs for completing a wide range of tasks (e.g. several times a day).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
d8q3d5,2023-10-06T23:23:54Z,2023-10-06T23:25:13Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,A barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,No
a9v1a3,2023-10-09T12:39:43Z,2023-10-09T12:41:18Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Government,A barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,Maybe
y4q6y6,2023-10-05T11:34:18Z,2023-10-05T11:34:39Z,I have written programs for my own use that are a couple of pages long.,I have written programs for my own use that are a couple of pages long.,I could struggle through by trial and error with a lot of web searches.,"In machine readible files (e.g. CSV, JSON)",I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Academia,A barrier,Not a barrier,A barrier,Not a barrier,Not a barrier,Yes
r4u2r4,2023-10-08T16:37:57Z,2023-10-08T16:39:42Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,A barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,No
n5v2n7,2023-10-05T12:10:50Z,2023-10-05T12:11:33Z,I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.,I could do it quickly with no use of external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
e5p6e3,2023-10-13T11:17:31Z,2023-10-13T11:18:23Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),A barrier,A barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
d2g2d5,2023-10-15T19:52:37Z,2023-10-15T19:53:27Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
o0u7o7,2023-10-11T20:35:28Z,2023-10-11T20:37:38Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,I don't know,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
f2g5f9,2023-10-16T12:06:55Z,2023-10-16T12:08:22Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,Not a barrier,A barrier,Not a barrier,Not a barrier,Not a barrier,No
z1n3z3,2023-10-06T04:06:58Z,2023-10-06T04:08:41Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
r6m1r1,2023-10-17T06:11:35Z,2023-10-24T21:07:01Z,I have written a few lines now and again.,I have written a few lines now and again.,I wouldn’t know where to start.,In physical notebooks on paper,I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
z5u2z2,2023-10-20T13:46:52Z,2023-10-20T13:51:02Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
c0w4c2,2023-10-08T01:04:43Z,2023-10-08T01:06:48Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,A barrier,Not a barrier,Not a barrier,Maybe
g3d5g2,2023-10-24T11:46:41Z,NA,I have written and maintained larger pieces of software.,I have written and maintained larger pieces of software.,I could do it quickly with no use of external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Independent consultant,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
t6r2t0,2023-10-07T21:05:44Z,2023-10-07T20:51:04Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,A barrier,Not a barrier,Maybe
p2x9p6,2023-10-17T19:34:09Z,2023-10-17T19:28:20Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
s8v3s1,2023-10-12T21:34:12Z,2023-10-12T21:35:32Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Independent consultant,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
w9z2w3,2023-10-06T16:46:36Z,2023-10-06T16:47:06Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Independent consultant,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
x9c7x2,2023-10-06T14:17:13Z,2023-10-26T16:11:24Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Private sector,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
s3r5s8,2023-10-09T16:58:07Z,2023-10-09T16:58:55Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
